clock	watch	T_int	T_ext	T_set	Cp	Ci	Cd	Hp	Hi	Hd
20200714 142008	368.622	29.63	30.7	30.0	1	0.0	0.0	0.5	0.0	0.0
20200714 142010	370.669	29.6	30.7	30.0	1	0.0	0.0	0.5	0.0	0.0
20200714 142012	372.717	29.59	30.68	30.0	1	0.0	0.0	0.5	0.0	0.0
20200714 142014	374.762	29.56	30.68	30.0	1	0.0	0.0	0.5	0.0	0.0
20200714 142016	376.828	29.53	30.66	30.0	1	0.0	0.0	0.5	0.0	0.0
20200714 142018	378.876	29.52	30.64	30.0	1	0.0	0.0	0.5	0.0	0.0
20200714 142020	380.923	29.49	30.64	30.0	1	0.0	0.0	0.5	0.0	0.0
20200714 142022	382.971	29.47	30.62	30.0	1	0.0	0.0	0.5	0.0	0.0
20200714 142024	385.019	29.44	30.6	30.0	1	0.0	0.0	0.5	0.0	0.0
20200714 142026	387.066	29.42	30.6	30.0	1	0.0	0.0	0.5	0.0	0.0
20200714 142028	389.114	29.4	30.58	30.0	1	0.0	0.0	0.5	0.0	0.0
20200714 142030	391.161	29.37	30.58	30.0	1	0.0	0.0	0.5	0.0	0.0
20200714 142032	393.208	29.36	30.56	30.0	1	0.0	0.0	0.5	0.0	0.0
20200714 142034	395.254	29.33	30.55	30.0	1	0.0	0.0	0.5	0.0	0.0
20200714 142036	397.304	29.3	30.53	30.0	1	0.0	0.0	0.5	0.0	0.0
20200714 142038	399.352	29.29	30.52	30.0	1	0.0	0.0	0.5	0.0	0.0
20200714 142040	401.399	29.26	30.51	30.0	1	0.0	0.0	0.5	0.0	0.0
20200714 142042	403.447	29.25	30.49	30.0	1	0.0	0.0	0.5	0.0	0.0
20200714 142045	405.494	29.22	30.49	30.0	1	0.0	0.0	0.5	0.0	0.0
20200714 142047	407.542	29.19	30.47	30.0	1	0.0	0.0	0.5	0.0	0.0
20200714 142049	409.59	29.18	30.45	30.0	1	0.0	0.0	0.5	0.0	0.0
20200714 142051	411.637	29.15	30.45	30.0	1	0.0	0.0	0.5	0.0	0.0
20200714 142053	413.685	29.13	30.43	30.0	1	0.0	0.0	0.5	0.0	0.0
20200714 142055	415.732	29.11	30.42	30.0	1	0.0	0.0	0.5	0.0	0.0
20200714 142057	417.78	29.08	30.4	30.0	1	0.0	0.0	0.5	0.0	0.0
20200714 142059	419.827	29.06	30.38	30.0	1	0.0	0.0	0.5	0.0	0.0
20200714 142101	421.875	29.03	30.38	30.0	1	0.0	0.0	0.5	0.0	0.0
20200714 142103	423.923	29.02	30.36	30.0	1	0.0	0.0	0.5	0.0	0.0
20200714 142105	425.97	28.99	30.35	30.0	1	0.0	0.0	0.5	0.0	0.0
20200714 142107	428.018	28.96	30.33	30.0	1	0.0	0.0	0.5	0.0	0.0
20200714 142109	430.065	28.95	30.31	30.0	1	0.0	0.0	0.5	0.0	0.0
20200714 142111	432.113	28.92	30.31	30.0	1	0.0	0.0	0.5	0.0	0.0
20200714 142113	434.158	28.91	30.29	30.0	1	0.0	0.0	0.5	0.0	0.0
20200714 142115	436.208	28.88	30.29	30.0	1	0.0	0.0	0.5	0.0	0.0
20200714 142117	438.253	28.85	30.27	30.0	1	0.0	0.0	0.5	0.0	0.0
20200714 142119	440.303	28.84	30.24	30.0	1	0.0	0.0	0.5	0.0	0.0
20200714 142121	442.351	28.81	30.24	30.0	1	0.0	0.0	0.5	0.0	0.0
20200714 142123	444.399	28.8	30.22	30.0	1	0.0	0.0	0.5	0.0	0.0
20200714 142125	446.446	28.77	30.22	30.0	1	0.0	0.0	0.5	0.0	0.0
20200714 142128	448.494	28.74	30.19	30.0	1	0.0	0.0	0.5	0.0	0.0
20200714 142130	450.541	28.73	30.17	30.0	1	0.0	0.0	0.5	0.0	0.0
20200714 142132	452.589	28.7	30.17	30.0	1	0.0	0.0	0.5	0.0	0.0
20200714 142134	454.637	28.68	30.15	30.0	1	0.0	0.0	0.5	0.0	0.0
20200714 142136	456.684	28.66	30.15	30.0	1	0.0	0.0	0.5	0.0	0.0
20200714 142138	458.729	28.63	30.13	30.0	1	0.0	0.0	0.5	0.0	0.0
20200714 142140	460.779	28.62	30.1	30.0	1	0.0	0.0	0.5	0.0	0.0
20200714 142142	462.825	28.59	30.1	30.0	1	0.0	0.0	0.5	0.0	0.0
20200714 142144	464.874	28.58	30.08	30.0	1	0.0	0.0	0.5	0.0	0.0
20200714 142146	466.922	28.55	30.08	30.0	1	0.0	0.0	0.5	0.0	0.0
20200714 142148	468.97	28.52	30.06	30.0	1	0.0	0.0	0.5	0.0	0.0
20200714 142150	471.017	28.5	30.03	30.0	1	0.0	0.0	0.5	0.0	0.0
20200714 142152	473.081	28.48	30.03	30.0	1	0.0	0.0	0.5	0.0	0.0
20200714 142154	475.126	28.46	30.01	30.0	1	0.0	0.0	0.5	0.0	0.0
20200714 142156	477.172	28.44	30.0	30.0	1	0.0	0.0	0.5	0.0	0.0
20200714 142158	479.223	28.41	29.98	30.0	1	0.0	0.0	0.5	0.0	0.0
20200714 142200	481.271	28.39	29.96	30.0	1	0.0	0.0	0.5	0.0	0.0
20200714 142202	483.319	28.37	29.96	30.0	1	0.0	0.0	0.5	0.0	0.0
20200714 142204	485.366	28.35	29.94	30.0	1	0.0	0.0	0.5	0.0	0.0
20200714 142206	487.414	28.33	29.92	30.0	1	0.0	0.0	0.5	0.0	0.0
20200714 142209	489.464	28.3	29.91	30.0	1	0.0	0.0	0.5	0.0	0.0
20200714 142211	491.511	28.29	29.89	30.0	1	0.0	0.0	0.5	0.0	0.0
20200714 142213	493.559	28.27	29.88	30.0	1	0.0	0.0	0.5	0.0	0.0
20200714 142215	495.607	28.26	29.86	30.0	1	0.0	0.0	0.5	0.0	0.0
20200714 142217	497.654	28.25	29.84	30.0	1	0.0	0.0	0.5	0.0	0.0
20200714 142219	499.701	28.24	29.84	30.0	1	0.0	0.0	0.5	0.0	0.0
20200714 142221	501.748	28.23	29.82	30.0	1	0.0	0.0	0.5	0.0	0.0
20200714 142223	503.795	28.23	29.81	30.0	1	0.0	0.0	0.5	0.0	0.0
20200714 142225	505.842	28.23	29.79	30.0	1	0.0	0.0	0.5	0.0	0.0
20200714 142227	507.889	28.23	29.79	30.0	1	0.0	0.0	0.5	0.0	0.0
20200714 142229	509.937	28.23	29.77	30.0	1	0.0	0.0	0.5	0.0	0.0
20200714 142231	511.983	28.23	29.74	30.0	1	0.0	0.0	0.5	0.0	0.0
20200714 142233	514.031	28.24	29.74	30.0	1	0.0	0.0	0.5	0.0	0.0
20200714 142235	516.077	28.25	29.72	30.0	1	0.0	0.0	0.5	0.0	0.0
20200714 142237	518.124	28.26	29.71	30.0	1	0.0	0.0	0.5	0.0	0.0
20200714 142239	520.172	28.28	29.69	30.0	1	0.0	0.0	0.5	0.0	0.0
20200714 142241	522.218	28.29	29.67	30.0	1	0.0	0.0	0.5	0.0	0.0
20200714 142243	524.273	28.31	29.66	30.0	1	0.0	0.0	0.5	0.0	0.0
20200714 142245	526.319	28.32	29.64	30.0	1	0.0	0.0	0.5	0.0	0.0
20200714 142247	528.368	28.35	29.64	30.0	1	0.0	0.0	0.5	0.0	0.0
20200714 142249	530.431	28.38	29.62	30.0	1	0.0	0.0	0.5	0.0	0.0
20200714 142252	532.479	28.4	29.6	30.0	1	0.0	0.0	0.5	0.0	0.0
20200714 142254	534.52	28.43	29.59	30.0	1	0.0	0.0	0.5	0.0	0.0
20200714 142256	536.574	28.45	29.57	30.0	1	0.0	0.0	0.5	0.0	0.0
20200714 142258	538.617	28.49	29.55	30.0	1	0.0	0.0	0.5	0.0	0.0
20200714 142300	540.669	28.54	29.55	30.0	1	0.0	0.0	0.5	0.0	0.0
20200714 142302	542.717	28.56	29.52	30.0	1	0.0	0.0	0.5	0.0	0.0
20200714 142304	544.765	28.61	29.52	30.0	1	0.0	0.0	0.5	0.0	0.0
20200714 142306	546.812	28.63	29.5	30.0	1	0.0	0.0	0.5	0.0	0.0
20200714 142308	548.86	28.69	29.48	30.0	1	0.0	0.0	0.5	0.0	0.0
20200714 142310	550.907	28.75	29.47	30.0	1	0.0	0.0	0.5	0.0	0.0
20200714 142312	552.955	28.78	29.45	30.0	1	0.0	0.0	0.5	0.0	0.0
20200714 142314	555.002	28.84	29.45	30.0	1	0.0	0.0	0.5	0.0	0.0
20200714 142316	557.05	28.87	29.43	30.0	1	0.0	0.0	0.5	0.0	0.0
20200714 142318	559.098	28.93	29.42	30.0	1	0.0	0.0	0.5	0.0	0.0
20200714 142320	561.148	28.99	29.41	30.0	1	0.0	0.0	0.5	0.0	0.0
20200714 142322	563.187	29.02	29.39	30.0	1	0.0	0.0	0.5	0.0	0.0
20200714 142324	565.234	29.09	29.39	30.0	1	0.0	0.0	0.5	0.0	0.0
