clock	watch	T_int	T_ext	T_set	Cp	Ci	Cd	Hp	Hi	Hd
20200714 134350	247.77	33.1	31.08	30.0	1	0.0	0.0	0.5	0.0	0.0
20200714 134352	249.815	33.06	31.1	30.0	1	0.0	0.0	0.5	0.0	0.0
20200714 134354	251.861	33.05	31.11	30.0	1	0.0	0.0	0.5	0.0	0.0
20200714 134356	253.913	33.02	31.11	30.0	1	0.0	0.0	0.5	0.0	0.0
20200714 134358	255.957	33.0	31.12	30.0	1	0.0	0.0	0.5	0.0	0.0
20200714 134400	258.008	32.97	31.12	30.0	1	0.0	0.0	0.5	0.0	0.0
20200714 134402	260.056	32.94	31.13	30.0	1	0.0	0.0	0.5	0.0	0.0
20200714 134404	262.103	32.93	31.14	30.0	1	0.0	0.0	0.5	0.0	0.0
20200714 134406	264.151	32.89	31.15	30.0	1	0.0	0.0	0.5	0.0	0.0
20200714 134408	266.199	32.88	31.15	30.0	1	0.0	0.0	0.5	0.0	0.0
20200714 134411	268.246	32.85	31.16	30.0	1	0.0	0.0	0.5	0.0	0.0
20200714 134413	270.294	32.82	31.17	30.0	1	0.0	0.0	0.5	0.0	0.0
20200714 134415	272.341	32.8	31.18	30.0	1	0.0	0.0	0.5	0.0	0.0
20200714 134417	274.389	32.77	31.18	30.0	1	0.0	0.0	0.5	0.0	0.0
20200714 134419	276.437	32.76	31.19	30.0	1	0.0	0.0	0.5	0.0	0.0
20200714 134421	278.484	32.72	31.19	30.0	1	0.0	0.0	0.5	0.0	0.0
20200714 134423	280.532	32.69	31.2	30.0	1	0.0	0.0	0.5	0.0	0.0
20200714 134425	282.579	32.68	31.2	30.0	1	0.0	0.0	0.5	0.0	0.0
20200714 134427	284.627	32.65	31.2	30.0	1	0.0	0.0	0.5	0.0	0.0
20200714 134429	286.674	32.63	31.21	30.0	1	0.0	0.0	0.5	0.0	0.0
20200714 134431	288.719	32.6	31.21	30.0	1	0.0	0.0	0.5	0.0	0.0
20200714 134433	290.769	32.57	31.22	30.0	1	0.0	0.0	0.5	0.0	0.0
20200714 134435	292.817	32.56	31.23	30.0	1	0.0	0.0	0.5	0.0	0.0
20200714 134437	294.861	32.53	31.23	30.0	1	0.0	0.0	0.5	0.0	0.0
20200714 134439	296.912	32.51	31.23	30.0	1	0.0	0.0	0.5	0.0	0.0
20200714 134441	298.96	32.48	31.23	30.0	1	0.0	0.0	0.5	0.0	0.0
20200714 134443	301.007	32.45	31.24	30.0	1	0.0	0.0	0.5	0.0	0.0
