clock	watch	T_int	T_ext	T_ref
20200713 225156	515.704	8.45	10.6	10.309
20200713 225158	517.835	8.45	10.59	10.288
20200713 225200	519.963	8.43	10.59	10.281
20200713 225202	522.09	8.41	10.57	10.267
20200713 225204	524.218	8.4	10.56	10.245
20200713 225206	526.34	8.38	10.55	10.238
20200713 225208	528.454	8.36	10.54	10.231
20200713 225210	530.584	8.35	10.53	10.209
20200713 225213	532.712	8.33	10.53	10.195
20200713 225215	534.839	8.32	10.52	10.181
20200713 225217	536.982	8.3	10.5	10.174
20200713 225219	539.11	8.28	10.5	10.16
20200713 225221	541.237	8.27	10.49	10.146
20200713 225223	543.376	8.25	10.47	10.131
20200713 225225	545.508	8.23	10.47	10.124
20200713 225227	547.636	8.22	10.46	10.103
20200713 225230	549.763	8.21	10.45	10.089
20200713 225232	551.89	8.19	10.44	10.082
20200713 225234	554.018	8.18	10.43	10.06
20200713 225236	556.14	8.16	10.42	10.046
20200713 225238	558.253	8.14	10.41	10.039
20200713 225240	560.382	8.13	10.4	10.032
20200713 225242	562.508	8.11	10.39	10.011
20200713 225244	564.639	8.09	10.38	10.004
20200713 225247	566.766	8.08	10.37	9.99
20200713 225249	568.893	8.07	10.36	9.975
20200713 225251	571.018	8.05	10.36	9.961
20200713 225253	573.149	8.04	10.35	9.947
20200713 225255	575.276	8.02	10.33	9.933
20200713 225257	577.403	8.0	10.33	9.919
20200713 225259	579.531	7.99	10.31	9.912
20200713 225301	581.653	7.98	10.3	9.897
20200713 225304	583.77	7.96	10.3	9.883
20200713 225306	585.897	7.95	10.29	9.869
20200713 225308	588.025	7.93	10.28	9.855
20200713 225310	590.153	7.91	10.27	9.841
20200713 225312	592.28	7.91	10.25	9.834
20200713 225314	594.407	7.89	10.25	9.819
20200713 225316	596.532	7.87	10.24	9.805
20200713 225318	598.657	7.86	10.23	9.79
20200713 225321	600.774	7.84	10.23	9.776
20200713 225323	602.901	7.83	10.22	9.776
20200713 225325	605.024	7.82	10.21	9.747
20200713 225327	607.137	7.8	10.21	9.74
20200713 225329	609.265	7.78	10.19	9.726
20200713 225331	611.393	7.77	10.17	9.711
20200713 225333	613.522	7.75	10.16	9.697
20200713 225335	615.647	7.74	10.15	9.683
20200713 225338	617.773	7.73	10.14	9.676
20200713 225340	619.889	7.71	10.13	9.661
20200713 225342	622.015	7.69	10.12	9.647
20200713 225344	624.139	7.68	10.1	9.64
20200713 225346	626.25	7.66	10.1	9.625
20200713 225348	628.362	7.65	10.09	9.611
20200713 225350	630.478	7.64	10.08	9.597
20200713 225352	632.602	7.62	10.08	9.59
20200713 225355	634.732	7.6	10.06	9.575
20200713 225357	636.857	7.59	10.04	9.554
20200713 225359	638.984	7.57	10.04	9.554
20200713 225401	641.099	7.56	10.02	9.532
20200713 225403	643.227	7.55	10.01	9.518
